year,team,player_name,points,is_allstar
2000,PHI,"Iverson,Allen",26,1
2000,TOR,"Carter,Vince",12,1
2000,MIA,"Mourning,Alonzo",15,1
2000,CHH,"Jones,Eddie",10,1
2000,DET,"Hill,Grant",7,1
2000,East,,,1
2000,IND,"Miller,Reggie",5,1
2000,NYK,"Houston,Allan",11,1
2000,MIL,"Allen,Ray",14,1
2000,MIL,"Robinson,Glenn",10,1
2000,ATL,"Mutombo,Dikembe",4,1
2000,DET,"Stackhouse,Jerry",8,1
2000,IND,"Davis,Dale",4,1
2000,MIN,"Garnett,Kevin",24,1
2000,PHO,"Kidd,Jason",11,1
2000,SAS,"Duncan,Tim",24,1
2000,LAL,"Bryant,Kobe",15,1
2000,LAL,"O'Neal,Shaquille",22,1
2000,West,,,1
2000,POR,"Wallace,Rasheed",9,1
2000,SEA,"Payton,Gary",5,1
2000,SAC,"Webber,Chris",6,1
2000,UTA,"Stockton,John",10,1
2000,DAL,"Finley,Michael",11,1
2000,SAS,"Robinson,David",0,1
2000,UTA,"Malone,Karl",0,1
2001,PHI,"Iverson,Allen",25,1
2001,TOR,"Carter,Vince",16,1
2001,ORL,"McGrady,Tracy",2,1
2001,TOR,"Davis,Antonio",8,1
2001,MIA,"Mason,Anthony",0,1
2001,East,,,1
2001,ATL,"Mutombo,Dikembe",6,1
2001,MIL,"Allen,Ray",15,1
2001,NJN,"Marbury,Stephon",12,1
2001,MIL,"Robinson,Glenn",8,1
2001,NYK,"Sprewell,Latrell",7,1
2001,DET,"Stackhouse,Jerry",7,1
2001,NYK,"Houston,Allan",5,1
2001,LAL,"Bryant,Kobe",19,1
2001,PHO,"Kidd,Jason",11,1
2001,SAC,"Webber,Chris",14,1
2001,SAS,"Duncan,Tim",14,1
2001,MIN,"Garnett,Kevin",14,1
2001,West,,,1
2001,POR,"Wallace,Rasheed",2,1
2001,DAL,"Finley,Michael",12,1
2001,SEA,"Payton,Gary",0,1
2001,DEN,"McDyess,Antonio",8,1
2001,SAS,"Robinson,David",8,1
2001,SAC,"Divac,Vlade",8,1
2001,UTA,"Malone,Karl",0,1
2002,PHI,"Iverson,Allen",5,1
2002,WAS,"Jordan,Michael",8,1
